report_name,report_agency,date,visits,language
Browser language,Department of Agriculture,1/29/24,3850,es-us
Browser language,Department of Agriculture,1/29/24,3131,es-es
Browser language,Department of Agriculture,1/29/24,2674,en
Browser language,Department of Agriculture,1/29/24,2600,c
Browser language,Department of Agriculture,1/29/24,1627,en-au
Browser language,Department of Agriculture,1/29/24,1405,en-in
Browser language,Department of Agriculture,1/29/24,1312,pt-br
Browser language,Department of Agriculture,1/29/24,1289,es-mx
Browser language,Department of Agriculture,1/29/24,1132,ja
Browser language,Department of Agriculture,1/29/24,1102,fr-fr
Browser language,Department of Agriculture,1/29/24,927,de-de
Browser language,Department of Agriculture,1/29/24,870,es
Browser language,Department of Agriculture,1/29/24,844,ko-kr
Browser language,Department of Agriculture,1/29/24,737,ru
Browser language,Department of Agriculture,1/29/24,645,it-it
Browser language,Department of Agriculture,1/29/24,607,ru-ru
Browser language,Department of Agriculture,1/29/24,598,zh-tw
Browser language,Department of Agriculture,1/29/24,465,de
Browser language,Department of Agriculture,1/29/24,439,fr
Browser language,Department of Agriculture,1/29/24,433,tr-tr
Browser language,Department of Agriculture,1/29/24,423,nl-nl
Browser language,Department of Agriculture,1/29/24,330,fr-ca
Browser language,Department of Agriculture,1/29/24,274,pl-pl
Browser language,Department of Agriculture,1/29/24,269,ar
Browser language,Department of Agriculture,1/29/24,259,ko
Browser language,Department of Agriculture,1/29/24,253,el-gr
Browser language,Department of Agriculture,1/29/24,250,vi-vn
Browser language,Department of Agriculture,1/29/24,244,"zh-cn,zh"
Browser language,Department of Agriculture,1/29/24,238,pt-pt
Browser language,Department of Agriculture,1/29/24,233,id-id
Browser language,Department of Agriculture,1/29/24,221,en-za
Browser language,Department of Agriculture,1/29/24,211,en-ph
Browser language,Department of Agriculture,1/29/24,208,th-th
Browser language,Department of Agriculture,1/29/24,192,sv-se
Browser language,Department of Agriculture,1/29/24,184,uk-ua
Browser language,Department of Agriculture,1/29/24,180,en-nz
Browser language,Department of Agriculture,1/29/24,174,en-sg
Browser language,Department of Agriculture,1/29/24,159,nl
Browser language,Department of Agriculture,1/29/24,144,cs-cz
Browser language,Department of Agriculture,1/29/24,136,da-dk
Browser language,Department of Agriculture,1/29/24,128,id
Browser language,Department of Agriculture,1/29/24,123,hu-hu
Browser language,Department of Agriculture,1/29/24,123,it
Browser language,Department of Agriculture,1/29/24,114,nb-no
Browser language,Department of Agriculture,1/29/24,106,he-il
Browser language,Department of Agriculture,1/28/24,296010,en-us
Browser language,Department of Agriculture,1/28/24,11232,en-gb
Browser language,Department of Agriculture,1/28/24,4149,en-ca
Browser language,Department of Agriculture,1/28/24,3128,es-419
Browser language,Department of Agriculture,1/28/24,2866,es-us
Browser language,Department of Agriculture,1/28/24,2553,zh-cn
