report_name,report_agency,date,os,visits,browser
Operating system and browser,Department of Agriculture,2/10/24,Macintosh,133,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,2/10/24,Linux,118,Samsung Internet
Operating system and browser,Department of Agriculture,2/9/24,Windows,177113,Chrome
Operating system and browser,Department of Agriculture,2/9/24,iOS,105101,Safari
Operating system and browser,Department of Agriculture,2/9/24,Android,63436,Chrome
Operating system and browser,Department of Agriculture,2/9/24,Windows,60187,Edge
Operating system and browser,Department of Agriculture,2/9/24,Chrome OS,28454,Chrome
Operating system and browser,Department of Agriculture,2/9/24,Macintosh,26681,Safari
Operating system and browser,Department of Agriculture,2/9/24,Macintosh,24554,Chrome
Operating system and browser,Department of Agriculture,2/9/24,iOS,15821,Chrome
Operating system and browser,Department of Agriculture,2/9/24,Linux,10800,Chrome
Operating system and browser,Department of Agriculture,2/9/24,iOS,6589,Safari (in-app)
Operating system and browser,Department of Agriculture,2/9/24,Windows,6384,Firefox
Operating system and browser,Department of Agriculture,2/9/24,Android,4395,Samsung Internet
Operating system and browser,Department of Agriculture,2/9/24,Android,2501,Android Webview
Operating system and browser,Department of Agriculture,2/9/24,Macintosh,2237,Firefox
Operating system and browser,Department of Agriculture,2/9/24,Android,766,Firefox
Operating system and browser,Department of Agriculture,2/9/24,Windows,600,Opera
Operating system and browser,Department of Agriculture,2/9/24,Android,594,Amazon Silk
Operating system and browser,Department of Agriculture,2/9/24,Windows,480,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,2/9/24,Linux,359,Firefox
Operating system and browser,Department of Agriculture,2/9/24,Android,279,Opera
Operating system and browser,Department of Agriculture,2/9/24,iOS,261,(not set)
Operating system and browser,Department of Agriculture,2/9/24,Macintosh,198,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,2/9/24,Macintosh,168,Edge
Operating system and browser,Department of Agriculture,2/9/24,Linux,137,Samsung Internet
Operating system and browser,Department of Agriculture,2/9/24,Windows,112,Internet Explorer
Operating system and browser,Department of Agriculture,2/8/24,Windows,207584,Chrome
Operating system and browser,Department of Agriculture,2/8/24,iOS,118653,Safari
Operating system and browser,Department of Agriculture,2/8/24,Windows,78058,Edge
Operating system and browser,Department of Agriculture,2/8/24,Android,69032,Chrome
Operating system and browser,Department of Agriculture,2/8/24,Chrome OS,36192,Chrome
Operating system and browser,Department of Agriculture,2/8/24,Macintosh,32561,Safari
Operating system and browser,Department of Agriculture,2/8/24,Macintosh,31400,Chrome
Operating system and browser,Department of Agriculture,2/8/24,iOS,17364,Chrome
Operating system and browser,Department of Agriculture,2/8/24,Linux,14168,Chrome
Operating system and browser,Department of Agriculture,2/8/24,Windows,8029,Firefox
Operating system and browser,Department of Agriculture,2/8/24,iOS,7278,Safari (in-app)
Operating system and browser,Department of Agriculture,2/8/24,Android,5022,Samsung Internet
Operating system and browser,Department of Agriculture,2/8/24,Android,3015,Android Webview
Operating system and browser,Department of Agriculture,2/8/24,Macintosh,2544,Firefox
Operating system and browser,Department of Agriculture,2/8/24,Android,801,Firefox
Operating system and browser,Department of Agriculture,2/8/24,Windows,735,Opera
Operating system and browser,Department of Agriculture,2/8/24,Android,596,Amazon Silk
Operating system and browser,Department of Agriculture,2/8/24,Windows,550,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,2/8/24,Linux,389,Firefox
Operating system and browser,Department of Agriculture,2/8/24,Android,335,Opera
Operating system and browser,Department of Agriculture,2/8/24,iOS,285,(not set)
Operating system and browser,Department of Agriculture,2/8/24,Macintosh,219,Edge
Operating system and browser,Department of Agriculture,2/8/24,Macintosh,192,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,2/8/24,Linux,133,Samsung Internet
Operating system and browser,Department of Agriculture,2/8/24,Windows,126,Internet Explorer
Operating system and browser,Department of Agriculture,2/8/24,(not set),113,Opera Mini
Operating system and browser,Department of Agriculture,2/7/24,Windows,201544,Chrome
Operating system and browser,Department of Agriculture,2/7/24,iOS,116820,Safari
Operating system and browser,Department of Agriculture,2/7/24,Windows,76142,Edge
Operating system and browser,Department of Agriculture,2/7/24,Android,69589,Chrome
Operating system and browser,Department of Agriculture,2/7/24,Chrome OS,36018,Chrome
Operating system and browser,Department of Agriculture,2/7/24,Macintosh,32703,Chrome
Operating system and browser,Department of Agriculture,2/7/24,Macintosh,31557,Safari
Operating system and browser,Department of Agriculture,2/7/24,iOS,16837,Chrome
Operating system and browser,Department of Agriculture,2/7/24,Linux,10774,Chrome
Operating system and browser,Department of Agriculture,2/7/24,Windows,7917,Firefox
Operating system and browser,Department of Agriculture,2/7/24,iOS,6569,Safari (in-app)
Operating system and browser,Department of Agriculture,2/7/24,Android,4986,Samsung Internet
Operating system and browser,Department of Agriculture,2/7/24,Android,2767,Android Webview
Operating system and browser,Department of Agriculture,2/7/24,Macintosh,2461,Firefox
Operating system and browser,Department of Agriculture,2/7/24,Android,738,Firefox
Operating system and browser,Department of Agriculture,2/7/24,Windows,710,Opera
Operating system and browser,Department of Agriculture,2/7/24,Android,659,Amazon Silk
Operating system and browser,Department of Agriculture,2/7/24,Linux,374,Firefox
Operating system and browser,Department of Agriculture,2/7/24,Android,319,Opera
Operating system and browser,Department of Agriculture,2/7/24,iOS,279,(not set)
Operating system and browser,Department of Agriculture,2/7/24,Macintosh,224,Edge
Operating system and browser,Department of Agriculture,2/7/24,Macintosh,205,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,2/7/24,Windows,169,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,2/7/24,Linux,159,Samsung Internet
Operating system and browser,Department of Agriculture,2/7/24,Linux,156,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,2/7/24,Windows,126,Internet Explorer
Operating system and browser,Department of Agriculture,2/6/24,Windows,221649,Chrome
Operating system and browser,Department of Agriculture,2/6/24,iOS,113047,Safari
Operating system and browser,Department of Agriculture,2/6/24,Windows,74758,Edge
Operating system and browser,Department of Agriculture,2/6/24,Android,68225,Chrome
Operating system and browser,Department of Agriculture,2/6/24,Chrome OS,37527,Chrome
Operating system and browser,Department of Agriculture,2/6/24,Macintosh,32703,Safari
Operating system and browser,Department of Agriculture,2/6/24,Macintosh,32153,Chrome
Operating system and browser,Department of Agriculture,2/6/24,iOS,16269,Chrome
Operating system and browser,Department of Agriculture,2/6/24,Linux,10909,Chrome
Operating system and browser,Department of Agriculture,2/6/24,Windows,7830,Firefox
Operating system and browser,Department of Agriculture,2/6/24,iOS,5979,Safari (in-app)
Operating system and browser,Department of Agriculture,2/6/24,Android,4769,Samsung Internet
Operating system and browser,Department of Agriculture,2/6/24,Android,2719,Android Webview
Operating system and browser,Department of Agriculture,2/6/24,Macintosh,2582,Firefox
Operating system and browser,Department of Agriculture,2/6/24,Android,728,Firefox
Operating system and browser,Department of Agriculture,2/6/24,Windows,681,Opera
Operating system and browser,Department of Agriculture,2/6/24,Android,606,Amazon Silk
Operating system and browser,Department of Agriculture,2/6/24,Linux,327,Firefox
Operating system and browser,Department of Agriculture,2/6/24,Android,307,Opera
Operating system and browser,Department of Agriculture,2/6/24,iOS,295,(not set)
Operating system and browser,Department of Agriculture,2/6/24,Macintosh,216,Edge
Operating system and browser,Department of Agriculture,2/6/24,Windows,202,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,2/6/24,Macintosh,201,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,2/6/24,Windows,137,Internet Explorer
Operating system and browser,Department of Agriculture,2/6/24,Linux,137,Samsung Internet
Operating system and browser,Department of Agriculture,2/6/24,(not set),104,Opera Mini
Operating system and browser,Department of Agriculture,2/5/24,Windows,182088,Chrome
Operating system and browser,Department of Agriculture,2/5/24,iOS,112947,Safari
Operating system and browser,Department of Agriculture,2/5/24,Windows,79294,Edge
Operating system and browser,Department of Agriculture,2/5/24,Android,67749,Chrome
Operating system and browser,Department of Agriculture,2/5/24,Chrome OS,37128,Chrome
Operating system and browser,Department of Agriculture,2/5/24,Macintosh,33246,Safari
Operating system and browser,Department of Agriculture,2/5/24,Macintosh,33011,Chrome
Operating system and browser,Department of Agriculture,2/5/24,iOS,16159,Chrome
Operating system and browser,Department of Agriculture,2/5/24,Linux,10628,Chrome
Operating system and browser,Department of Agriculture,2/5/24,Windows,8208,Firefox
Operating system and browser,Department of Agriculture,2/5/24,iOS,5677,Safari (in-app)
Operating system and browser,Department of Agriculture,2/5/24,Android,4445,Samsung Internet
Operating system and browser,Department of Agriculture,2/5/24,Android,2758,Android Webview
Operating system and browser,Department of Agriculture,2/5/24,Macintosh,2727,Firefox
Operating system and browser,Department of Agriculture,2/5/24,Windows,968,Opera
Operating system and browser,Department of Agriculture,2/5/24,Linux,850,Firefox
Operating system and browser,Department of Agriculture,2/5/24,Android,808,Firefox
Operating system and browser,Department of Agriculture,2/5/24,Android,608,Amazon Silk
Operating system and browser,Department of Agriculture,2/5/24,Android,495,Android Browser
Operating system and browser,Department of Agriculture,2/5/24,Windows,462,Internet Explorer
Operating system and browser,Department of Agriculture,2/5/24,Windows,408,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,2/5/24,Android,373,Opera
Operating system and browser,Department of Agriculture,2/5/24,(not set),328,(not set)
Operating system and browser,Department of Agriculture,2/5/24,iOS,325,(not set)
Operating system and browser,Department of Agriculture,2/5/24,Macintosh,224,Edge
Operating system and browser,Department of Agriculture,2/5/24,Macintosh,188,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,2/5/24,(not set),164,Opera Mini
Operating system and browser,Department of Agriculture,2/5/24,Windows Phone,163,Internet Explorer
Operating system and browser,Department of Agriculture,2/5/24,Linux,149,Safari
Operating system and browser,Department of Agriculture,2/5/24,Linux,138,Samsung Internet
Operating system and browser,Department of Agriculture,2/5/24,Linux,122,Mozilla
Operating system and browser,Department of Agriculture,2/5/24,BlackBerry,119,BlackBerry
Operating system and browser,Department of Agriculture,2/5/24,Windows,115,Safari
Operating system and browser,Department of Agriculture,2/5/24,Sony,112,NetFront
Operating system and browser,Department of Agriculture,2/5/24,Macintosh,110,Opera
Operating system and browser,Department of Agriculture,2/5/24,Linux,103,Opera
Operating system and browser,Department of Agriculture,2/4/24,iOS,112800,Safari
Operating system and browser,Department of Agriculture,2/4/24,Android,68278,Chrome
Operating system and browser,Department of Agriculture,2/4/24,Windows,57040,Chrome
Operating system and browser,Department of Agriculture,2/4/24,Macintosh,25345,Safari
Operating system and browser,Department of Agriculture,2/4/24,Macintosh,20574,Chrome
Operating system and browser,Department of Agriculture,2/4/24,Windows,19393,Edge
Operating system and browser,Department of Agriculture,2/4/24,iOS,17035,Chrome
Operating system and browser,Department of Agriculture,2/4/24,Linux,10561,Chrome
Operating system and browser,Department of Agriculture,2/4/24,Chrome OS,5780,Chrome
Operating system and browser,Department of Agriculture,2/4/24,iOS,5360,Safari (in-app)
Operating system and browser,Department of Agriculture,2/4/24,Android,4682,Samsung Internet
Operating system and browser,Department of Agriculture,2/4/24,Windows,4462,Firefox
Operating system and browser,Department of Agriculture,2/4/24,Android,2328,Android Webview
Operating system and browser,Department of Agriculture,2/4/24,Macintosh,2316,Firefox
Operating system and browser,Department of Agriculture,2/4/24,Windows,1043,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,2/4/24,Android,897,Firefox
Operating system and browser,Department of Agriculture,2/4/24,Linux,855,Firefox
Operating system and browser,Department of Agriculture,2/4/24,Windows,798,Opera
Operating system and browser,Department of Agriculture,2/4/24,Android,673,Android Browser
Operating system and browser,Department of Agriculture,2/4/24,Android,621,Amazon Silk
Operating system and browser,Department of Agriculture,2/4/24,Windows,509,Internet Explorer
Operating system and browser,Department of Agriculture,2/4/24,(not set),435,(not set)
Operating system and browser,Department of Agriculture,2/4/24,Android,324,Opera
Operating system and browser,Department of Agriculture,2/4/24,iOS,322,(not set)
Operating system and browser,Department of Agriculture,2/4/24,Macintosh,192,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,2/4/24,(not set),179,Opera Mini
Operating system and browser,Department of Agriculture,2/4/24,Windows Phone,176,Internet Explorer
Operating system and browser,Department of Agriculture,2/4/24,Linux,153,Safari
Operating system and browser,Department of Agriculture,2/4/24,Linux,148,Mozilla
Operating system and browser,Department of Agriculture,2/4/24,BlackBerry,141,BlackBerry
Operating system and browser,Department of Agriculture,2/4/24,Linux,136,Opera
Operating system and browser,Department of Agriculture,2/4/24,SymbianOS,136,Safari
Operating system and browser,Department of Agriculture,2/4/24,Macintosh,130,Opera
Operating system and browser,Department of Agriculture,2/4/24,Linux,124,Samsung Internet
Operating system and browser,Department of Agriculture,2/4/24,Windows,123,Safari
Operating system and browser,Department of Agriculture,2/4/24,Sony,120,NetFront
Operating system and browser,Department of Agriculture,2/4/24,Linux,113,Puffin
Operating system and browser,Department of Agriculture,2/4/24,Macintosh,109,Edge
Operating system and browser,Department of Agriculture,2/3/24,iOS,107892,Safari
Operating system and browser,Department of Agriculture,2/3/24,Android,64860,Chrome
Operating system and browser,Department of Agriculture,2/3/24,Windows,45090,Chrome
Operating system and browser,Department of Agriculture,2/3/24,Macintosh,20634,Safari
Operating system and browser,Department of Agriculture,2/3/24,iOS,16205,Chrome
Operating system and browser,Department of Agriculture,2/3/24,Windows,16046,Edge
Operating system and browser,Department of Agriculture,2/3/24,Macintosh,14793,Chrome
Operating system and browser,Department of Agriculture,2/3/24,Linux,10582,Chrome
Operating system and browser,Department of Agriculture,2/3/24,iOS,6028,Safari (in-app)
Operating system and browser,Department of Agriculture,2/3/24,Android,4436,Samsung Internet
Operating system and browser,Department of Agriculture,2/3/24,Chrome OS,3842,Chrome
Operating system and browser,Department of Agriculture,2/3/24,Windows,3655,Firefox
Operating system and browser,Department of Agriculture,2/3/24,Android,2361,Android Webview
Operating system and browser,Department of Agriculture,2/3/24,Macintosh,1958,Firefox
Operating system and browser,Department of Agriculture,2/3/24,Android,926,Firefox
Operating system and browser,Department of Agriculture,2/3/24,Linux,778,Firefox
Operating system and browser,Department of Agriculture,2/3/24,Windows,651,Opera
Operating system and browser,Department of Agriculture,2/3/24,Android,636,Amazon Silk
Operating system and browser,Department of Agriculture,2/3/24,Android,510,Android Browser
Operating system and browser,Department of Agriculture,2/3/24,(not set),415,(not set)
Operating system and browser,Department of Agriculture,2/3/24,Windows,415,Internet Explorer
Operating system and browser,Department of Agriculture,2/3/24,Windows,339,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,2/3/24,iOS,302,(not set)
Operating system and browser,Department of Agriculture,2/3/24,Android,300,Opera
Operating system and browser,Department of Agriculture,2/3/24,Macintosh,157,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,2/3/24,(not set),157,Opera Mini
Operating system and browser,Department of Agriculture,2/3/24,Windows,156,Safari
Operating system and browser,Department of Agriculture,2/3/24,Windows Phone,151,Internet Explorer
Operating system and browser,Department of Agriculture,2/3/24,BlackBerry,130,BlackBerry
Operating system and browser,Department of Agriculture,2/3/24,SymbianOS,119,Safari
Operating system and browser,Department of Agriculture,2/3/24,Linux,118,Mozilla
Operating system and browser,Department of Agriculture,2/3/24,Sony,114,NetFront
Operating system and browser,Department of Agriculture,2/3/24,Linux,114,Safari
Operating system and browser,Department of Agriculture,2/3/24,Linux,111,Samsung Internet
Operating system and browser,Department of Agriculture,2/3/24,Linux,102,Opera
Operating system and browser,Department of Agriculture,2/2/24,Windows,138916,Chrome
Operating system and browser,Department of Agriculture,2/2/24,iOS,106581,Safari
Operating system and browser,Department of Agriculture,2/2/24,Android,64019,Chrome
Operating system and browser,Department of Agriculture,2/2/24,Windows,62957,Edge
Operating system and browser,Department of Agriculture,2/2/24,Chrome OS,27523,Chrome
Operating system and browser,Department of Agriculture,2/2/24,Macintosh,26679,Safari
Operating system and browser,Department of Agriculture,2/2/24,Macintosh,24766,Chrome
Operating system and browser,Department of Agriculture,2/2/24,iOS,15598,Chrome
Operating system and browser,Department of Agriculture,2/2/24,Linux,11145,Chrome
Operating system and browser,Department of Agriculture,2/2/24,Windows,7287,Firefox
Operating system and browser,Department of Agriculture,2/2/24,iOS,5936,Safari (in-app)
Operating system and browser,Department of Agriculture,2/2/24,Android,4362,Samsung Internet
Operating system and browser,Department of Agriculture,2/2/24,Android,2461,Android Webview
Operating system and browser,Department of Agriculture,2/2/24,Macintosh,2421,Firefox
Operating system and browser,Department of Agriculture,2/2/24,Linux,919,Firefox
Operating system and browser,Department of Agriculture,2/2/24,Windows,811,Opera
Operating system and browser,Department of Agriculture,2/2/24,Android,807,Firefox
Operating system and browser,Department of Agriculture,2/2/24,Android,672,Android Browser
Operating system and browser,Department of Agriculture,2/2/24,Android,643,Amazon Silk
Operating system and browser,Department of Agriculture,2/2/24,Windows,531,Internet Explorer
Operating system and browser,Department of Agriculture,2/2/24,(not set),384,(not set)
Operating system and browser,Department of Agriculture,2/2/24,Android,286,Opera
Operating system and browser,Department of Agriculture,2/2/24,iOS,279,(not set)
Operating system and browser,Department of Agriculture,2/2/24,Windows,220,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,2/2/24,(not set),206,Opera Mini
Operating system and browser,Department of Agriculture,2/2/24,Windows Phone,200,Internet Explorer
Operating system and browser,Department of Agriculture,2/2/24,Macintosh,175,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,2/2/24,Macintosh,166,Edge
Operating system and browser,Department of Agriculture,2/2/24,Linux,156,Safari
Operating system and browser,Department of Agriculture,2/2/24,Macintosh,133,Opera
Operating system and browser,Department of Agriculture,2/2/24,Linux,132,Mozilla
Operating system and browser,Department of Agriculture,2/2/24,BlackBerry,131,BlackBerry
Operating system and browser,Department of Agriculture,2/2/24,SymbianOS,126,Safari
Operating system and browser,Department of Agriculture,2/2/24,Linux,126,Samsung Internet
Operating system and browser,Department of Agriculture,2/2/24,Sony,125,NetFront
Operating system and browser,Department of Agriculture,2/2/24,Linux,123,Opera
Operating system and browser,Department of Agriculture,2/2/24,Windows,122,Safari
Operating system and browser,Department of Agriculture,2/2/24,Linux,117,Puffin
Operating system and browser,Department of Agriculture,2/1/24,Windows,195825,Chrome
Operating system and browser,Department of Agriculture,2/1/24,iOS,111033,Safari
Operating system and browser,Department of Agriculture,2/1/24,Windows,74915,Edge
Operating system and browser,Department of Agriculture,2/1/24,Android,66104,Chrome
Operating system and browser,Department of Agriculture,2/1/24,Chrome OS,35076,Chrome
Operating system and browser,Department of Agriculture,2/1/24,Macintosh,30943,Safari
Operating system and browser,Department of Agriculture,2/1/24,Macintosh,30544,Chrome
Operating system and browser,Department of Agriculture,2/1/24,iOS,16152,Chrome
Operating system and browser,Department of Agriculture,2/1/24,Linux,11459,Chrome
Operating system and browser,Department of Agriculture,2/1/24,Windows,7873,Firefox
Operating system and browser,Department of Agriculture,2/1/24,iOS,6685,Safari (in-app)
Operating system and browser,Department of Agriculture,2/1/24,Android,4626,Samsung Internet
Operating system and browser,Department of Agriculture,2/1/24,Android,2511,Android Webview
Operating system and browser,Department of Agriculture,2/1/24,Macintosh,2457,Firefox
Operating system and browser,Department of Agriculture,2/1/24,Linux,963,Firefox
Operating system and browser,Department of Agriculture,2/1/24,Windows,878,Opera
Operating system and browser,Department of Agriculture,2/1/24,Android,798,Firefox
Operating system and browser,Department of Agriculture,2/1/24,Windows,733,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,2/1/24,Android,652,Amazon Silk
Operating system and browser,Department of Agriculture,2/1/24,Android,595,Android Browser
Operating system and browser,Department of Agriculture,2/1/24,Windows,514,Internet Explorer
Operating system and browser,Department of Agriculture,2/1/24,Android,362,Opera
Operating system and browser,Department of Agriculture,2/1/24,(not set),348,(not set)
Operating system and browser,Department of Agriculture,2/1/24,iOS,347,(not set)
Operating system and browser,Department of Agriculture,2/1/24,Macintosh,216,Edge
Operating system and browser,Department of Agriculture,2/1/24,Macintosh,201,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,2/1/24,Windows Phone,168,Internet Explorer
Operating system and browser,Department of Agriculture,2/1/24,(not set),162,Opera Mini
Operating system and browser,Department of Agriculture,2/1/24,Linux,137,Safari
Operating system and browser,Department of Agriculture,2/1/24,Macintosh,135,Opera
Operating system and browser,Department of Agriculture,2/1/24,Linux,130,Samsung Internet
Operating system and browser,Department of Agriculture,2/1/24,BlackBerry,129,BlackBerry
Operating system and browser,Department of Agriculture,2/1/24,SymbianOS,119,Safari
Operating system and browser,Department of Agriculture,2/1/24,Sony,117,NetFront
Operating system and browser,Department of Agriculture,2/1/24,Linux,116,Mozilla
Operating system and browser,Department of Agriculture,2/1/24,Linux,110,Opera
Operating system and browser,Department of Agriculture,2/1/24,Windows,105,Safari
Operating system and browser,Department of Agriculture,3/31/24,iOS,107980,Safari
Operating system and browser,Department of Agriculture,3/31/24,Android,69838,Chrome
Operating system and browser,Department of Agriculture,3/31/24,Windows,45319,Chrome
Operating system and browser,Department of Agriculture,3/31/24,Macintosh,20022,Safari
Operating system and browser,Department of Agriculture,3/31/24,iOS,16921,Chrome
Operating system and browser,Department of Agriculture,3/31/24,Macintosh,16381,Chrome
Operating system and browser,Department of Agriculture,3/31/24,Windows,14154,Edge
Operating system and browser,Department of Agriculture,3/31/24,Linux,9642,Chrome
Operating system and browser,Department of Agriculture,3/31/24,iOS,6768,Safari (in-app)
Operating system and browser,Department of Agriculture,3/31/24,Android,4447,Samsung Internet
Operating system and browser,Department of Agriculture,3/31/24,Chrome OS,3595,Chrome
Operating system and browser,Department of Agriculture,3/31/24,Windows,3589,Firefox
Operating system and browser,Department of Agriculture,3/31/24,Android,3041,Android Webview
Operating system and browser,Department of Agriculture,3/31/24,Macintosh,2245,Firefox
Operating system and browser,Department of Agriculture,3/31/24,Windows,1090,Internet Explorer
Operating system and browser,Department of Agriculture,3/31/24,Android,916,Firefox
Operating system and browser,Department of Agriculture,3/31/24,Windows,843,Opera
Operating system and browser,Department of Agriculture,3/31/24,Android,549,Amazon Silk
Operating system and browser,Department of Agriculture,3/31/24,Linux,298,Firefox
Operating system and browser,Department of Agriculture,3/31/24,Android,258,Opera
Operating system and browser,Department of Agriculture,3/31/24,iOS,237,(not set)
Operating system and browser,Department of Agriculture,3/31/24,Windows,194,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,3/31/24,Macintosh,143,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,3/31/24,(not set),133,(not set)
Operating system and browser,Department of Agriculture,3/31/24,Linux,131,Samsung Internet
Operating system and browser,Department of Agriculture,3/31/24,Macintosh,114,Edge
Operating system and browser,Department of Agriculture,3/31/24,(not set),113,Opera Mini
Operating system and browser,Department of Agriculture,3/30/24,iOS,106910,Safari
Operating system and browser,Department of Agriculture,3/30/24,Android,66297,Chrome
Operating system and browser,Department of Agriculture,3/30/24,Windows,41297,Chrome
Operating system and browser,Department of Agriculture,3/30/24,Macintosh,18903,Safari
Operating system and browser,Department of Agriculture,3/30/24,iOS,16711,Chrome
Operating system and browser,Department of Agriculture,3/30/24,Macintosh,13582,Chrome
Operating system and browser,Department of Agriculture,3/30/24,Windows,13090,Edge
Operating system and browser,Department of Agriculture,3/30/24,Linux,9960,Chrome
Operating system and browser,Department of Agriculture,3/30/24,iOS,6272,Safari (in-app)
Operating system and browser,Department of Agriculture,3/30/24,Android,4239,Samsung Internet
Operating system and browser,Department of Agriculture,3/30/24,Windows,3654,Firefox
Operating system and browser,Department of Agriculture,3/30/24,Chrome OS,3046,Chrome
Operating system and browser,Department of Agriculture,3/30/24,Android,2410,Android Webview
Operating system and browser,Department of Agriculture,3/30/24,Macintosh,1842,Firefox
Operating system and browser,Department of Agriculture,3/30/24,Android,888,Firefox
Operating system and browser,Department of Agriculture,3/30/24,Windows,810,Opera
Operating system and browser,Department of Agriculture,3/30/24,Android,536,Amazon Silk
Operating system and browser,Department of Agriculture,3/30/24,Windows,324,Internet Explorer
Operating system and browser,Department of Agriculture,3/30/24,Linux,306,Firefox
Operating system and browser,Department of Agriculture,3/30/24,Android,235,Opera
Operating system and browser,Department of Agriculture,3/30/24,iOS,218,(not set)
Operating system and browser,Department of Agriculture,3/30/24,(not set),184,(not set)
Operating system and browser,Department of Agriculture,3/30/24,Macintosh,178,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,3/30/24,Linux,123,Samsung Internet
Operating system and browser,Department of Agriculture,3/30/24,(not set),104,Opera Mini
Operating system and browser,Department of Agriculture,3/29/24,Windows,125423,Chrome
Operating system and browser,Department of Agriculture,3/29/24,iOS,115891,Safari
Operating system and browser,Department of Agriculture,3/29/24,Android,69432,Chrome
Operating system and browser,Department of Agriculture,3/29/24,Windows,48354,Edge
Operating system and browser,Department of Agriculture,3/29/24,Macintosh,22710,Safari
Operating system and browser,Department of Agriculture,3/29/24,Macintosh,21691,Chrome
Operating system and browser,Department of Agriculture,3/29/24,iOS,17469,Chrome
Operating system and browser,Department of Agriculture,3/29/24,Linux,10877,Chrome
Operating system and browser,Department of Agriculture,3/29/24,iOS,8368,Safari (in-app)
Operating system and browser,Department of Agriculture,3/29/24,Chrome OS,8261,Chrome
Operating system and browser,Department of Agriculture,3/29/24,Windows,6391,Firefox
Operating system and browser,Department of Agriculture,3/29/24,Android,4831,Samsung Internet
Operating system and browser,Department of Agriculture,3/29/24,Android,3359,Android Webview
Operating system and browser,Department of Agriculture,3/29/24,Macintosh,2364,Firefox
Operating system and browser,Department of Agriculture,3/29/24,Windows,1312,Opera
Operating system and browser,Department of Agriculture,3/29/24,Android,947,Firefox
Operating system and browser,Department of Agriculture,3/29/24,Windows,591,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,3/29/24,Android,524,Amazon Silk
Operating system and browser,Department of Agriculture,3/29/24,Linux,371,Firefox
Operating system and browser,Department of Agriculture,3/29/24,Macintosh,266,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,3/29/24,Android,262,Opera
Operating system and browser,Department of Agriculture,3/29/24,iOS,236,(not set)
Operating system and browser,Department of Agriculture,3/29/24,Macintosh,165,Edge
Operating system and browser,Department of Agriculture,3/29/24,(not set),151,(not set)
Operating system and browser,Department of Agriculture,3/29/24,Windows,144,Internet Explorer
Operating system and browser,Department of Agriculture,3/29/24,Linux,136,Samsung Internet
Operating system and browser,Department of Agriculture,3/29/24,(not set),102,Opera Mini
Operating system and browser,Department of Agriculture,3/28/24,Windows,177040,Chrome
Operating system and browser,Department of Agriculture,3/28/24,iOS,126069,Safari
Operating system and browser,Department of Agriculture,3/28/24,Android,70991,Chrome
Operating system and browser,Department of Agriculture,3/28/24,Windows,69565,Edge
Operating system and browser,Department of Agriculture,3/28/24,Macintosh,27783,Chrome
Operating system and browser,Department of Agriculture,3/28/24,Macintosh,27051,Safari
Operating system and browser,Department of Agriculture,3/28/24,Chrome OS,19429,Chrome
Operating system and browser,Department of Agriculture,3/28/24,iOS,18049,Chrome
Operating system and browser,Department of Agriculture,3/28/24,Linux,10982,Chrome
Operating system and browser,Department of Agriculture,3/28/24,iOS,8239,Safari (in-app)
Operating system and browser,Department of Agriculture,3/28/24,Windows,7635,Firefox
Operating system and browser,Department of Agriculture,3/28/24,Android,4909,Samsung Internet
Operating system and browser,Department of Agriculture,3/28/24,Android,3354,Android Webview
Operating system and browser,Department of Agriculture,3/28/24,Macintosh,2616,Firefox
Operating system and browser,Department of Agriculture,3/28/24,Android,864,Firefox
Operating system and browser,Department of Agriculture,3/28/24,Windows,827,Opera
Operating system and browser,Department of Agriculture,3/28/24,Android,524,Amazon Silk
Operating system and browser,Department of Agriculture,3/28/24,Linux,423,Firefox
Operating system and browser,Department of Agriculture,3/28/24,Android,262,Opera
Operating system and browser,Department of Agriculture,3/28/24,iOS,243,(not set)
Operating system and browser,Department of Agriculture,3/28/24,Macintosh,239,Edge
Operating system and browser,Department of Agriculture,3/28/24,Macintosh,218,Mozilla Compatible Agent
