report_name,report_agency,date,os,visits,browser
Operating system and browser,Department of Agriculture,1/29/24,Android,292,Opera
Operating system and browser,Department of Agriculture,1/29/24,Windows,285,Internet Explorer
Operating system and browser,Department of Agriculture,1/29/24,iOS,266,(not set)
Operating system and browser,Department of Agriculture,1/29/24,Macintosh,247,Edge
Operating system and browser,Department of Agriculture,1/29/24,Macintosh,205,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,1/29/24,(not set),154,(not set)
Operating system and browser,Department of Agriculture,1/29/24,(not set),123,Opera Mini
Operating system and browser,Department of Agriculture,1/29/24,Linux,123,Samsung Internet
Operating system and browser,Department of Agriculture,1/28/24,iOS,107399,Safari
Operating system and browser,Department of Agriculture,1/28/24,Android,63413,Chrome
Operating system and browser,Department of Agriculture,1/28/24,Windows,53388,Chrome
Operating system and browser,Department of Agriculture,1/28/24,Macintosh,23478,Safari
Operating system and browser,Department of Agriculture,1/28/24,Macintosh,19401,Chrome
Operating system and browser,Department of Agriculture,1/28/24,Windows,17664,Edge
Operating system and browser,Department of Agriculture,1/28/24,iOS,16529,Chrome
Operating system and browser,Department of Agriculture,1/28/24,Linux,10787,Chrome
Operating system and browser,Department of Agriculture,1/28/24,iOS,5622,Safari (in-app)
Operating system and browser,Department of Agriculture,1/28/24,Chrome OS,5381,Chrome
Operating system and browser,Department of Agriculture,1/28/24,Android,4524,Samsung Internet
Operating system and browser,Department of Agriculture,1/28/24,Windows,4022,Firefox
Operating system and browser,Department of Agriculture,1/28/24,Android,2422,Android Webview
Operating system and browser,Department of Agriculture,1/28/24,Macintosh,1942,Firefox
Operating system and browser,Department of Agriculture,1/28/24,Android,747,Firefox
Operating system and browser,Department of Agriculture,1/28/24,Android,579,Amazon Silk
Operating system and browser,Department of Agriculture,1/28/24,Windows,515,Opera
Operating system and browser,Department of Agriculture,1/28/24,Linux,407,Firefox
Operating system and browser,Department of Agriculture,1/28/24,Windows,370,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,1/28/24,iOS,281,(not set)
Operating system and browser,Department of Agriculture,1/28/24,Android,267,Opera
Operating system and browser,Department of Agriculture,1/28/24,Macintosh,177,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,1/28/24,(not set),144,Opera Mini
Operating system and browser,Department of Agriculture,1/28/24,Macintosh,119,Edge
